1,2
2,13
3,17
4,2
5,6
6,17
7,11
8,17
9,22
10,11
11,6
12,9
13,11
14,8
15,2
16,10
17,6
18,8
19,2
20,12
21,14
22,0
23,9
24,17
25,8
26,17
27,10
28,8
29,17
30,6
31,14
32,17
33,10
34,14
35,10
36,10
37,14
38,8
39,8
40,12
41,9
42,10
43,13
44,10
45,10
46,10
47,12
48,14
49,8
50,0
51,7
52,8
53,22
54,13
55,14
56,14
57,0
58,9
59,17
60,14
61,12
62,2
63,11
64,12
65,17
66,6
67,6
68,14
69,12
70,13
71,13
72,22
73,21
74,8
75,11
76,6
77,10
78,17
79,6
80,8

Confusion Matrix
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0

,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Precision,0.6666666666666666,0.0,0.6,0.0,0.0,0.0,0.5,1.0,0.3,0.5,0.3,0.6,0.3333333333333333,0.6,0.3333333333333333,0.0,0.0,0.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Recall,0.5,0.0,0.75,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.75,0.6666666666666666,0.75,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0
F-score,0.5714285714285715,0.0,0.6666666666666665,0.0,0.0,0.0,0.6666666666666666,0.5,0.4615384615384615,0.5,0.4615384615384615,0.6666666666666665,0.4444444444444444,0.6666666666666665,0.5,0.0,0.0,0.4285714285714285,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0

Accuracy,0.45
Macro-average f1,0.30900723208415515
Weighted-average f1,0.3533653846153846
